UPN,Bot_Y,Bot_X,Bot_Z
13199,0,0,0
22128,365873.958674,2261051.728879,892.941812
25296,365744.277485,2261129.7405115,891.24274
13198,0,0,0
44750,365847.39575,2261051.7348,892.54522
25282,365717.795254,2261129.706448,890.404325
39649,0,0,0
44751,0,0,0
25280,365691.125028,2261129.68721,889.38034
39641,0,0,0
22127,0,0,0
25279,0,0,0
44889,0,0,0
22126,0,0,0
25278,0,0,0
29637,0,0,0
22125,0,0,0
25277,0,0,0
29636,0,0,0
25276,0,0,0
29635,0,0,0
47509,0,0,0
22124,0,0,0
29634,0,0,0
25275,0,0,0
22123,0,0,0
29633,0,0,0
25274,0,0,0
22122,0,0,0
25273,0,0,0
22121,0,0,0
29632,0,0,0
25272,0,0,0
22120,0,0,0
29631,0,0,0
25271,0,0,0
47220,0,0,0
29630,0,0,0
25270,0,0,0
22147,0,0,0
22148,0,0,0
25269,0,0,0
22149,0,0,0
47787,0,0,0
41345,0,0,0
22150,0,0,0
29629,0,0,0
41344,0,0,0
22178,365953.760683,2261071.297364,893.48794
29628,0,0,0
5478,0,0,0
22177,365927.223115,2261071.305285,893.121749
29627,0,0,0
5435,0,0,0
22176,365900.5632485,2261071.302671,893.375116
29626,0,0,0
5433,0,0,0
22175,365873.945958,2261071.24066,893.80095
29653,365953.855735,2261383.281005,899.08125
5409,0,0,0
44752,365847.356954,2261071.286942,893.413878
5408,0,0,0
44753,0,0,0
29654,365927.1761,2261383.314575,899.1297
5407,0,0,0
22174,0,0,0
29655,365900.567866,2261383.321344,898.939548
5406,0,0,0
22173,0,0,0
29656,365874.010096,2261383.354432,898.52808
5405,0,0,0
22172,0,0,0
44890,365847.4037495,2261383.3203,898.406336
5404,0,0,0
22171,0,0,0
43667,365797.565694,2261383.3174205,896.795726
6081,0,0,0
22170,0,0,0
13211,365771.050318,2261383.247374,896.099902
5403,0,0,0
22169,0,0,0
13197,365744.386996,2261383.3112385,895.912777
22168,0,0,0
13195,365717.769257,2261383.287549,895.612816
22167,0,0,0
5402,0,0,0
13194,365691.184375,2261383.3009325,895.315296
47221,0,0,0
5410,0,0,0
13193,0,0,0
22166,0,0,0
5401,0,0,0
13192,0,0,0
22179,0,0,0
5399,365953.8292885,2261149.244129,896.285477
13191,0,0,0
22165,0,0,0
5398,365927.171671,2261149.2720615,895.754392
13190,0,0,0
22163,0,0,0
5397,365900.61878,2261149.251,895.859332
46531,0,0,0
22162,365953.74378,2261090.73949,893.78472
13189,0,0,0
22161,365927.1716955,2261090.801274,893.733513
13188,0,0,0
5396,365874.030336,2261149.272029,895.96303
22160,365900.5824075,2261090.780399,894.051899
13187,0,0,0
5395,365847.43077,2261149.21869,895.114246
22159,365873.8678675,2261090.712385,894.386968
13186,0,0,0
41343,365797.505782,2261149.222614,892.7768
44754,365847.251694,2261090.767682,894.25138
13185,0,0,0
41358,365770.896385,2261149.2154,892.26654
44759,0,0,0
13184,0,0,0
